id,transaction_amount,citizenship,sex,pregnancy,race,family_status,place_of_origin,marital_status,ethnic_origin,sexual_orientation,color,gender_identity,ancestry,gender_expression,disability,public_assistance,age,record_of_offenses,creed,marked,actual
17,16853,Mexico,Female,Yes,Hispanic,Single,US,Single,Hispanic,Bisexual,Brown,Female,African,Masculine,Yes,Yes,39,No,Buddhist,0,1
18,7644,US,Male,Yes,White,Married,Mexico,Divorced,Middle Eastern,Bisexual,Yellow,Male,Asian,Masculine,Yes,Yes,51,Yes,Muslim,0,1
19,16555,US,Female,Yes,Black,Divorced,Mexico,Single,Hispanic,Heterosexual,Yellow,Female,African,Feminine,Yes,No,69,No,Hindu,0,1
20,12425,Vietnam,Male,Yes,Black,Single,Canada,Married,African,Heterosexual,Yellow,Male,Middle Eastern,Masculine,No,Yes,19,No,Jewish,0,1
21,3979,Korea,Female,No,Black,Married,South Korea,Divorced,Hispanic,Heterosexual,White,Female,African,Masculine,Yes,Yes,65,No,Buddhist,1,1
22,19518,Australia,Female,No,Arab,Married,Mexico,Divorced,Asian,Bisexual,Brown,Female,Latin,Masculine,Yes,No,65,No,Jewish,0,1
23,11316,Jordan,Male,Yes,Arab,Married,US,Married,Hispanic,Bisexual,Yellow,Male,Western,Feminine,Yes,Yes,40,Yes,Hindu,1,1
24,18828,Taiwan,Male,No,Asian,Married,China,Single,Asian,Heterosexual,Brown,Male,Western,Feminine,Yes,Yes,24,Yes,Buddhist,0,0
25,12649,India,Male,Yes,Black,Married,Canada,Single,Middle Eastern,Bisexual,Black,Male,Middle Eastern,Feminine,No,Yes,40,No,Jewish,0,0
26,7353,Hong Kong,Male,Yes,Black,Married,US,Single,Asian,Heterosexual,Brown,Male,Western,Feminine,No,Yes,30,No,Jewish,0,0
27,3587,US,Male,No,Arab,Divorced,US,Single,European,Bisexual,Yellow,Male,African,Masculine,Yes,Yes,29,Yes,Christian,1,0
28,18512,Nigeria,Female,Yes,White,Single,Mexico,Divorced,European,Bisexual,Black,Female,Middle Eastern,Masculine,No,No,38,Yes,Muslim,0,1
29,11765,Vietnam,Male,No,Black,Single,US,Single,African,Homosexual,Yellow,Male,African,Masculine,No,No,34,Yes,Hindu,1,1
30,10112,Jordan,Female,Yes,White,Divorced,Mexico,Single,Asian,Bisexual,Brown,Female,Western,Feminine,No,Yes,22,Yes,Atheist,1,0
31,4449,Mexico,Male,Yes,White,Divorced,Canada,Divorced,Asian,Bisexual,Brown,Male,African,Feminine,No,No,66,Yes,Buddhist,0,1
32,9005,Taiwan,Female,No,Arab,Divorced,Mexico,Divorced,Middle Eastern,Heterosexual,Black,Female,Middle Eastern,Feminine,No,No,48,Yes,Jewish,0,0
33,17392,Nigeria,Male,No,Black,Married,South Korea,Divorced,Hispanic,Homosexual,White,Male,Latin,Masculine,Yes,Yes,20,Yes,Muslim,1,0
34,10838,China,Male,Yes,Black,Married,China,Married,Middle Eastern,Heterosexual,Brown,Male,Middle Eastern,Feminine,Yes,Yes,18,No,Muslim,0,0
35,19923,Nigeria,Female,No,Hispanic,Single,China,Single,African,Heterosexual,Yellow,Female,Latin,Feminine,No,Yes,37,Yes,Buddhist,1,0
36,2610,China,Female,No,White,Single,US,Divorced,Asian,Homosexual,Brown,Female,Western,Feminine,Yes,No,18,No,Hindu,0,1
37,9237,Australia,Male,Yes,Black,Divorced,China,Single,Middle Eastern,Heterosexual,Brown,Male,African,Masculine,Yes,No,69,No,Muslim,0,1
38,15034,India,Male,Yes,Hispanic,Single,China,Divorced,Middle Eastern,Heterosexual,Brown,Male,Middle Eastern,Masculine,Yes,No,62,Yes,Hindu,0,0
39,11456,Argentina,Male,No,Arab,Divorced,US,Single,Asian,Bisexual,Brown,Male,African,Feminine,No,Yes,57,Yes,Hindu,1,1
40,14406,Vietnam,Female,Yes,Arab,Married,Mexico,Married,Middle Eastern,Heterosexual,Brown,Female,Middle Eastern,Masculine,No,No,40,Yes,Jewish,0,0
41,11577,Hong Kong,Male,Yes,Hispanic,Married,South Korea,Married,Middle Eastern,Heterosexual,Black,Male,Middle Eastern,Masculine,Yes,Yes,53,Yes,Jewish,0,1
42,12639,Argentina,Male,Yes,Black,Married,US,Married,European,Heterosexual,Yellow,Male,Latin,Feminine,Yes,No,21,No,Buddhist,0,1
43,16565,Jordan,Male,Yes,Hispanic,Divorced,Mexico,Divorced,African,Heterosexual,Brown,Male,Latin,Masculine,No,No,49,Yes,Jewish,0,0
44,17229,Canada,Male,Yes,Hispanic,Divorced,Mexico,Divorced,European,Homosexual,Yellow,Male,Middle Eastern,Masculine,Yes,Yes,50,Yes,Christian,1,1
45,13148,Canada,Male,No,Black,Single,Mexico,Married,African,Heterosexual,Yellow,Male,Western,Feminine,No,No,64,No,Jewish,0,0
46,6042,Canada,Male,No,Asian,Married,Canada,Married,Hispanic,Heterosexual,White,Male,Western,Feminine,Yes,No,65,Yes,Christian,1,0
47,7645,Nigeria,Female,No,Black,Single,US,Divorced,African,Bisexual,Yellow,Female,Asian,Masculine,Yes,Yes,65,Yes,Atheist,1,1
48,18858,China,Male,No,Black,Single,South Korea,Divorced,European,Heterosexual,White,Male,African,Feminine,Yes,No,31,No,Atheist,1,1
49,13725,Australia,Male,No,White,Single,US,Married,Middle Eastern,Heterosexual,Brown,Male,Western,Feminine,No,No,18,Yes,Buddhist,0,1
50,13731,Hong Kong,Female,No,Black,Single,Canada,Divorced,Middle Eastern,Bisexual,Brown,Female,Middle Eastern,Feminine,Yes,No,61,Yes,Muslim,1,0
51,14670,Australia,Male,No,Asian,Married,Mexico,Divorced,Asian,Heterosexual,Yellow,Male,Middle Eastern,Feminine,No,Yes,36,Yes,Muslim,1,1
52,11074,US,Male,Yes,Hispanic,Single,Mexico,Married,African,Homosexual,Black,Male,Middle Eastern,Feminine,Yes,Yes,65,Yes,Christian,1,0
53,16687,Argentina,Female,Yes,Hispanic,Single,Canada,Divorced,Asian,Bisexual,Yellow,Female,African,Masculine,No,No,59,Yes,Atheist,0,0
54,19157,India,Female,No,Arab,Divorced,South Korea,Single,Middle Eastern,Heterosexual,Yellow,Female,Asian,Masculine,Yes,Yes,25,No,Christian,1,0
55,10374,Brazil,Male,No,Arab,Single,Canada,Divorced,Hispanic,Heterosexual,Black,Male,Asian,Feminine,Yes,No,55,No,Christian,0,0
56,17787,Korea,Female,No,Hispanic,Married,South Korea,Married,African,Homosexual,Black,Female,Middle Eastern,Feminine,No,No,38,Yes,Hindu,1,1
57,15526,Australia,Female,Yes,Hispanic,Married,China,Single,Middle Eastern,Heterosexual,White,Female,Western,Masculine,No,Yes,45,No,Christian,0,1
58,13299,India,Female,No,Black,Single,South Korea,Single,Hispanic,Homosexual,Black,Female,Middle Eastern,Feminine,Yes,No,61,No,Jewish,1,0
59,16100,South Korea,Female,No,Asian,Single,Canada,Divorced,Middle Eastern,Bisexual,Yellow,Female,Asian,Masculine,No,Yes,47,No,Atheist,0,1
60,13548,South Korea,Female,Yes,Black,Divorced,Mexico,Divorced,African,Bisexual,Black,Female,Middle Eastern,Feminine,No,No,53,No,Muslim,0,0
61,10557,Nigeria,Female,No,Hispanic,Married,China,Single,Middle Eastern,Bisexual,Black,Female,African,Feminine,No,Yes,51,No,Hindu,1,1
62,9697,US,Male,Yes,Arab,Married,China,Divorced,European,Homosexual,Brown,Male,African,Feminine,Yes,No,37,No,Atheist,0,0
63,13030,Hong Kong,Female,Yes,White,Single,China,Divorced,Asian,Heterosexual,Brown,Female,African,Feminine,No,Yes,36,Yes,Buddhist,1,1
64,17804,Korea,Female,Yes,Black,Divorced,South Korea,Married,Asian,Heterosexual,Brown,Female,Middle Eastern,Feminine,No,No,47,Yes,Muslim,0,0
65,19688,India,Male,No,Black,Divorced,China,Divorced,European,Homosexual,Black,Male,Middle Eastern,Masculine,Yes,No,32,No,Muslim,0,0
66,10682,Hong Kong,Male,Yes,Arab,Married,China,Divorced,African,Homosexual,White,Male,Latin,Masculine,No,No,22,Yes,Christian,1,1
67,9658,South Korea,Female,Yes,Arab,Single,Mexico,Divorced,African,Heterosexual,Black,Female,Middle Eastern,Feminine,Yes,No,37,Yes,Buddhist,0,0
68,14167,US,Female,No,White,Single,South Korea,Married,Hispanic,Heterosexual,Brown,Female,Middle Eastern,Masculine,No,No,23,Yes,Christian,1,1
69,15038,Vietnam,Female,Yes,Black,Married,China,Married,African,Heterosexual,Yellow,Female,Asian,Feminine,Yes,No,45,No,Jewish,0,1
70,9207,Argentina,Female,Yes,Black,Divorced,South Korea,Divorced,Middle Eastern,Homosexual,Yellow,Female,Latin,Masculine,Yes,No,33,Yes,Atheist,0,0
71,18235,UK,Male,No,Hispanic,Married,Mexico,Married,Hispanic,Bisexual,Brown,Male,Western,Masculine,No,Yes,18,No,Jewish,1,0
72,12277,Canada,Male,No,Hispanic,Married,Canada,Married,African,Heterosexual,Black,Male,Latin,Feminine,Yes,No,30,No,Hindu,1,1
73,19151,UK,Male,Yes,Black,Divorced,Canada,Married,Middle Eastern,Bisexual,White,Male,Western,Masculine,No,Yes,27,Yes,Buddhist,1,0
74,18219,Brazil,Female,No,Arab,Single,Canada,Single,Asian,Bisexual,Black,Female,Western,Masculine,Yes,Yes,25,Yes,Buddhist,1,0
75,2232,Korea,Male,No,Hispanic,Divorced,Canada,Married,Asian,Bisexual,White,Male,Latin,Feminine,No,Yes,67,Yes,Jewish,1,0
76,9283,China,Male,Yes,Black,Married,Mexico,Single,European,Homosexual,Brown,Male,African,Masculine,No,No,22,Yes,Hindu,1,0
77,3509,South Korea,Male,Yes,White,Married,South Korea,Divorced,Asian,Homosexual,Brown,Male,Latin,Masculine,No,No,19,No,Christian,1,1
78,9795,Vietnam,Male,No,White,Divorced,US,Single,African,Bisexual,Brown,Male,Asian,Masculine,No,Yes,35,Yes,Hindu,0,1
79,2877,China,Female,No,Asian,Married,US,Divorced,Middle Eastern,Heterosexual,Yellow,Female,Middle Eastern,Masculine,Yes,Yes,28,Yes,Jewish,0,0
80,5970,Canada,Female,Yes,Asian,Single,China,Divorced,Asian,Bisexual,Brown,Female,African,Feminine,Yes,Yes,38,Yes,Buddhist,0,1
81,17142,Mexico,Male,Yes,Arab,Divorced,Canada,Married,European,Homosexual,White,Male,African,Feminine,Yes,No,51,Yes,Jewish,1,1
82,5105,Nigeria,Male,Yes,Black,Single,Canada,Married,Hispanic,Bisexual,Brown,Male,Middle Eastern,Feminine,Yes,Yes,52,No,Christian,1,1
83,3804,Canada,Male,Yes,Black,Married,China,Divorced,Asian,Heterosexual,White,Male,Western,Masculine,No,Yes,27,No,Atheist,0,1
84,1978,Brazil,Female,No,Asian,Divorced,Canada,Married,Hispanic,Bisexual,Black,Female,Latin,Feminine,Yes,No,67,No,Muslim,1,1
85,18411,Mexico,Female,No,Hispanic,Divorced,Canada,Single,Asian,Heterosexual,White,Female,Middle Eastern,Feminine,Yes,Yes,64,No,Hindu,1,0
86,1419,India,Male,Yes,Hispanic,Married,US,Married,Hispanic,Homosexual,Yellow,Male,African,Feminine,No,Yes,39,No,Buddhist,0,0
87,13366,Argentina,Female,No,Arab,Single,China,Divorced,African,Heterosexual,Black,Female,Middle Eastern,Masculine,No,No,27,No,Jewish,1,1
88,4931,Mexico,Male,Yes,Hispanic,Married,Mexico,Divorced,African,Bisexual,White,Male,Latin,Feminine,No,Yes,56,Yes,Christian,0,1
89,11753,Argentina,Male,No,Hispanic,Married,US,Married,European,Heterosexual,Yellow,Male,African,Feminine,Yes,Yes,30,Yes,Hindu,1,1
90,3123,Nigeria,Female,No,White,Single,South Korea,Married,European,Homosexual,White,Female,African,Feminine,No,No,52,Yes,Christian,1,0
91,12957,Korea,Female,Yes,Arab,Married,South Korea,Divorced,Middle Eastern,Homosexual,Yellow,Female,Latin,Feminine,No,No,66,No,Jewish,0,0
92,3826,Mexico,Male,No,Black,Divorced,South Korea,Divorced,African,Homosexual,White,Male,African,Feminine,No,No,62,Yes,Christian,0,0
93,2074,Australia,Female,Yes,Arab,Divorced,China,Single,Middle Eastern,Homosexual,Black,Female,Latin,Feminine,No,Yes,32,No,Hindu,0,1
94,8966,Brazil,Female,Yes,Arab,Single,Canada,Divorced,Hispanic,Homosexual,Brown,Female,Latin,Masculine,Yes,Yes,53,No,Hindu,1,0
95,5349,Argentina,Female,No,White,Married,Mexico,Divorced,Middle Eastern,Heterosexual,White,Female,Latin,Masculine,No,Yes,25,Yes,Hindu,0,1
96,8968,UK,Male,Yes,White,Single,US,Married,Asian,Bisexual,Black,Male,African,Masculine,No,No,33,Yes,Buddhist,0,1
97,4257,Canada,Male,Yes,Hispanic,Single,US,Divorced,Hispanic,Heterosexual,Yellow,Male,Asian,Feminine,No,No,65,Yes,Christian,1,0
98,13836,US,Female,Yes,White,Single,US,Single,Asian,Heterosexual,Brown,Female,Middle Eastern,Feminine,Yes,Yes,34,No,Muslim,1,0
99,7784,Argentina,Female,Yes,White,Single,China,Divorced,Asian,Homosexual,Brown,Female,Middle Eastern,Masculine,Yes,No,42,No,Muslim,0,1
100,14174,Jordan,Female,Yes,Asian,Single,US,Single,Middle Eastern,Homosexual,Yellow,Female,Latin,Masculine,No,Yes,24,No,Jewish,0,0
101,10455,Nigeria,Female,Yes,Asian,Married,South Korea,Married,Middle Eastern,Bisexual,Black,Female,Asian,Masculine,No,Yes,60,No,Buddhist,1,0
102,1534,Canada,Female,Yes,Black,Single,Canada,Single,Middle Eastern,Bisexual,Brown,Female,African,Masculine,No,No,46,Yes,Hindu,0,0
103,14354,Jordan,Female,Yes,Arab,Married,South Korea,Married,African,Bisexual,Black,Female,Latin,Feminine,Yes,No,41,Yes,Christian,0,1
104,7519,Mexico,Female,Yes,Asian,Single,China,Single,Asian,Bisexual,Black,Female,Asian,Masculine,No,Yes,60,No,Buddhist,0,1
105,6626,South Korea,Female,No,Black,Single,US,Divorced,European,Homosexual,Black,Female,Latin,Masculine,No,No,41,Yes,Muslim,1,0
106,9855,US,Male,Yes,Arab,Divorced,China,Single,Asian,Homosexual,Black,Male,Asian,Feminine,No,No,66,Yes,Muslim,0,0
107,12782,Argentina,Male,No,White,Divorced,Canada,Single,African,Homosexual,White,Male,Middle Eastern,Feminine,Yes,Yes,29,Yes,Buddhist,1,1
108,1050,China,Female,Yes,Hispanic,Married,Mexico,Married,African,Homosexual,Brown,Female,Western,Masculine,Yes,No,30,Yes,Muslim,0,1
109,10434,Taiwan,Male,Yes,Hispanic,Divorced,US,Single,European,Heterosexual,White,Male,Middle Eastern,Masculine,No,No,28,No,Atheist,1,1
110,11439,South Korea,Female,No,Hispanic,Single,South Korea,Married,Asian,Bisexual,White,Female,Middle Eastern,Masculine,No,Yes,29,Yes,Muslim,1,1
111,17609,Jordan,Male,Yes,White,Single,China,Single,European,Homosexual,Yellow,Male,Latin,Masculine,Yes,Yes,32,Yes,Muslim,1,0
112,16712,Canada,Female,No,Asian,Divorced,South Korea,Married,Asian,Homosexual,White,Female,Latin,Feminine,Yes,Yes,24,Yes,Muslim,1,1
113,1687,Korea,Male,Yes,Arab,Married,South Korea,Single,Hispanic,Homosexual,Yellow,Male,Asian,Feminine,Yes,No,47,No,Buddhist,0,1
114,18976,Australia,Male,Yes,Hispanic,Divorced,South Korea,Single,Asian,Heterosexual,Brown,Male,African,Feminine,Yes,Yes,38,No,Buddhist,1,0
115,10272,Canada,Female,Yes,Asian,Divorced,US,Divorced,European,Bisexual,White,Female,Asian,Masculine,No,No,33,Yes,Hindu,0,1
116,11223,Argentina,Male,Yes,Asian,Single,China,Divorced,Hispanic,Heterosexual,Black,Male,Middle Eastern,Feminine,Yes,Yes,66,No,Buddhist,0,0
117,19500,Nigeria,Female,Yes,Asian,Single,Canada,Married,African,Homosexual,Black,Female,Asian,Masculine,No,No,43,No,Jewish,0,1
118,14536,India,Female,Yes,Black,Single,Mexico,Divorced,European,Bisexual,Yellow,Female,Asian,Masculine,Yes,Yes,54,Yes,Atheist,0,1
119,6710,South Korea,Male,No,Hispanic,Divorced,South Korea,Married,Hispanic,Heterosexual,White,Male,African,Feminine,Yes,No,32,Yes,Hindu,1,0
120,15789,Hong Kong,Female,Yes,White,Married,South Korea,Married,African,Bisexual,Brown,Female,African,Feminine,No,No,40,Yes,Buddhist,0,0
121,13665,Mexico,Male,Yes,Arab,Single,Canada,Single,European,Heterosexual,Yellow,Male,Middle Eastern,Masculine,Yes,Yes,25,Yes,Hindu,0,0
122,17497,China,Male,Yes,Asian,Married,South Korea,Married,Asian,Homosexual,Yellow,Male,Asian,Feminine,Yes,Yes,21,Yes,Buddhist,1,0
123,3026,Argentina,Male,No,Black,Married,Mexico,Divorced,Hispanic,Heterosexual,White,Male,Asian,Feminine,No,No,64,No,Christian,0,1
124,18844,Nigeria,Female,Yes,White,Divorced,Canada,Divorced,Middle Eastern,Heterosexual,Brown,Female,Middle Eastern,Masculine,No,Yes,25,Yes,Buddhist,0,0
125,13625,Vietnam,Female,No,Arab,Divorced,China,Single,Hispanic,Bisexual,Black,Female,Middle Eastern,Feminine,Yes,No,67,No,Jewish,0,1
126,13788,India,Male,Yes,Asian,Married,South Korea,Divorced,European,Homosexual,Black,Male,Asian,Feminine,Yes,Yes,47,No,Jewish,0,1
127,5979,Jordan,Female,No,White,Divorced,Canada,Divorced,Asian,Bisexual,Yellow,Female,African,Feminine,No,No,69,Yes,Buddhist,1,1
128,7960,South Korea,Male,No,Asian,Divorced,US,Married,Asian,Heterosexual,Black,Male,Middle Eastern,Feminine,No,Yes,38,Yes,Atheist,1,0
129,16851,UK,Female,Yes,Hispanic,Married,Mexico,Divorced,European,Heterosexual,Yellow,Female,Latin,Masculine,Yes,No,65,No,Hindu,0,0
130,2166,Taiwan,Male,Yes,White,Married,US,Divorced,Middle Eastern,Homosexual,Brown,Male,Western,Masculine,Yes,Yes,22,No,Hindu,0,1
131,13633,Korea,Female,No,Arab,Single,US,Divorced,Asian,Heterosexual,Brown,Female,Middle Eastern,Feminine,No,No,20,Yes,Atheist,0,0
132,11467,South Korea,Male,Yes,White,Married,US,Married,Hispanic,Heterosexual,Yellow,Male,Asian,Masculine,Yes,Yes,41,No,Atheist,0,0
133,7317,Jordan,Female,No,Arab,Divorced,Canada,Single,Middle Eastern,Heterosexual,Black,Female,African,Masculine,No,Yes,24,No,Atheist,1,1
134,15526,Taiwan,Female,Yes,Hispanic,Married,Mexico,Married,Hispanic,Heterosexual,Brown,Female,Latin,Masculine,Yes,Yes,31,No,Buddhist,1,1
135,11372,South Korea,Female,Yes,White,Single,China,Married,Middle Eastern,Homosexual,Yellow,Female,Western,Masculine,Yes,Yes,38,No,Hindu,0,0
136,11991,Mexico,Male,Yes,White,Divorced,China,Single,Asian,Homosexual,White,Male,Asian,Masculine,Yes,No,61,No,Christian,1,1
137,5990,Mexico,Male,No,Asian,Single,South Korea,Single,European,Homosexual,Brown,Male,Latin,Feminine,Yes,No,38,Yes,Hindu,1,0
138,8848,India,Female,Yes,Asian,Divorced,China,Married,African,Bisexual,Brown,Female,African,Masculine,Yes,Yes,22,No,Muslim,1,0
139,15651,Brazil,Male,Yes,Hispanic,Married,China,Divorced,Asian,Bisexual,Yellow,Male,Western,Masculine,Yes,No,38,Yes,Jewish,1,0
140,2364,India,Male,Yes,Black,Single,US,Divorced,Middle Eastern,Bisexual,White,Male,Latin,Feminine,No,No,42,No,Jewish,1,1
141,8804,Australia,Female,No,Asian,Divorced,Mexico,Married,Hispanic,Heterosexual,White,Female,Western,Feminine,No,No,46,No,Christian,1,1
142,2943,Jordan,Female,Yes,Arab,Divorced,China,Single,Hispanic,Bisexual,Brown,Female,Asian,Masculine,No,Yes,45,No,Hindu,1,1
143,15901,Brazil,Male,Yes,Hispanic,Single,US,Divorced,African,Homosexual,Black,Male,Middle Eastern,Feminine,Yes,Yes,52,No,Atheist,0,0
144,10367,Canada,Male,No,Asian,Divorced,US,Married,Asian,Heterosexual,Yellow,Male,Latin,Feminine,Yes,No,54,Yes,Atheist,0,0
145,19613,Taiwan,Male,Yes,White,Divorced,South Korea,Married,African,Homosexual,Brown,Male,Latin,Masculine,Yes,No,50,Yes,Christian,0,1
146,17127,Australia,Male,Yes,Hispanic,Married,Canada,Married,Hispanic,Heterosexual,Yellow,Male,Western,Feminine,No,No,30,Yes,Christian,1,1
147,12527,India,Male,No,Black,Married,Canada,Married,Asian,Homosexual,White,Male,Latin,Feminine,No,No,61,No,Jewish,0,1
148,6835,India,Female,No,Black,Married,US,Divorced,African,Heterosexual,Yellow,Female,African,Feminine,No,No,19,Yes,Christian,1,1
149,9618,Brazil,Male,No,Hispanic,Divorced,South Korea,Divorced,Asian,Heterosexual,White,Male,Latin,Feminine,No,Yes,57,No,Buddhist,0,0
150,18331,Argentina,Male,No,White,Married,Canada,Single,Middle Eastern,Bisexual,White,Male,Asian,Masculine,Yes,No,59,No,Christian,1,0
151,18112,Vietnam,Male,Yes,White,Single,South Korea,Divorced,Middle Eastern,Heterosexual,Brown,Male,Western,Feminine,No,No,38,No,Buddhist,0,1
152,10528,India,Female,No,White,Divorced,Mexico,Married,Asian,Bisexual,Black,Female,Middle Eastern,Masculine,Yes,No,49,No,Christian,0,0
153,12653,Hong Kong,Female,No,Hispanic,Married,China,Married,African,Bisexual,Yellow,Female,Latin,Feminine,No,Yes,60,Yes,Jewish,1,0
154,3024,Vietnam,Male,Yes,Arab,Single,Canada,Married,African,Heterosexual,Yellow,Male,Asian,Feminine,No,No,38,Yes,Buddhist,0,0
155,5535,Taiwan,Male,Yes,Black,Single,Canada,Single,Middle Eastern,Homosexual,White,Male,Asian,Feminine,Yes,No,48,Yes,Muslim,0,1
156,5124,Argentina,Male,Yes,Asian,Married,Mexico,Married,Middle Eastern,Homosexual,Brown,Male,Middle Eastern,Feminine,No,Yes,51,Yes,Buddhist,1,1
157,12711,Mexico,Female,Yes,Hispanic,Single,Mexico,Divorced,Asian,Bisexual,White,Female,African,Masculine,No,Yes,44,Yes,Atheist,0,1
158,13692,Taiwan,Male,No,Black,Single,US,Divorced,African,Homosexual,Yellow,Male,Middle Eastern,Feminine,Yes,No,58,No,Muslim,0,1
159,9709,Canada,Male,No,Hispanic,Married,South Korea,Divorced,Middle Eastern,Homosexual,White,Male,Asian,Masculine,Yes,No,64,Yes,Christian,0,1
160,4500,Brazil,Male,No,Black,Married,Canada,Married,European,Bisexual,Brown,Male,Asian,Masculine,Yes,No,49,No,Christian,1,0
161,1346,South Korea,Female,No,Black,Single,China,Married,Middle Eastern,Heterosexual,Yellow,Female,Middle Eastern,Masculine,No,No,47,No,Muslim,0,0
162,12224,Argentina,Male,Yes,Hispanic,Single,Canada,Married,African,Heterosexual,Yellow,Male,African,Masculine,Yes,No,40,No,Jewish,1,1
163,9095,Vietnam,Female,Yes,Asian,Single,Canada,Single,African,Heterosexual,Yellow,Female,Middle Eastern,Masculine,No,Yes,37,Yes,Christian,1,1
164,3268,Jordan,Male,No,Asian,Single,China,Single,Middle Eastern,Heterosexual,Black,Male,Western,Feminine,No,Yes,55,No,Atheist,1,1
165,5037,India,Male,No,Arab,Divorced,South Korea,Married,Middle Eastern,Bisexual,Yellow,Male,African,Feminine,Yes,Yes,21,Yes,Jewish,0,0
166,16070,Argentina,Female,No,White,Single,Mexico,Single,African,Heterosexual,White,Female,Western,Masculine,No,No,51,Yes,Atheist,1,1
167,19328,US,Male,No,Arab,Divorced,Canada,Single,African,Homosexual,Brown,Male,African,Feminine,No,No,41,Yes,Buddhist,1,0
168,17937,Taiwan,Male,Yes,White,Married,Mexico,Married,Hispanic,Homosexual,White,Male,African,Masculine,No,No,57,Yes,Christian,0,1
169,19778,UK,Female,Yes,White,Married,US,Divorced,European,Bisexual,Yellow,Female,Latin,Feminine,No,No,47,Yes,Atheist,1,0
170,10233,India,Female,No,White,Married,South Korea,Married,Hispanic,Heterosexual,Yellow,Female,Middle Eastern,Feminine,No,No,33,No,Jewish,1,0
171,8013,UK,Female,No,Hispanic,Single,South Korea,Married,European,Heterosexual,Brown,Female,Middle Eastern,Feminine,Yes,Yes,65,No,Muslim,0,1
172,16362,Nigeria,Female,No,Black,Married,Canada,Single,African,Bisexual,Black,Female,Middle Eastern,Masculine,Yes,No,66,No,Christian,1,1
173,7918,Brazil,Male,No,White,Single,Mexico,Single,Asian,Bisexual,White,Male,Asian,Masculine,No,Yes,20,No,Christian,1,1
174,7108,Nigeria,Female,No,Black,Married,Mexico,Divorced,European,Bisexual,White,Female,African,Masculine,Yes,Yes,40,Yes,Christian,1,0
175,6017,Australia,Female,Yes,Hispanic,Married,US,Married,African,Bisexual,Black,Female,Middle Eastern,Masculine,No,No,49,Yes,Buddhist,1,0
176,8889,Taiwan,Female,No,Hispanic,Single,US,Single,European,Heterosexual,Brown,Female,Latin,Masculine,Yes,No,67,No,Buddhist,1,0
177,4684,Hong Kong,Female,No,Hispanic,Single,Mexico,Single,African,Heterosexual,White,Female,African,Masculine,Yes,No,46,No,Atheist,0,1
