id,transaction_amount,citizenship,sex,pregnancy,race,family_status,place_of_origin,marital_status,ethnic_origin,sexual_orientation,color,gender_identity,ancestry,gender_expression,disability,public_assistance,age,record_of_offenses,creed,marked,actual
19,16744,Argentina,Female,0,Hispanic,Single,China,Married,Middle Eastern,Heterosexual,Brown,Female,African,Feminine,1,0,30,1,Atheist,1,1
20,13866,India,Female,0,Hispanic,Single,Canada,Divorced,Hispanic,Homosexual,White,Female,Asian,Feminine,0,1,48,0,Atheist,0,1
21,2230,Mexico,Female,0,Asian,Single,Canada,Divorced,Middle Eastern,Heterosexual,Black,Female,Asian,Feminine,0,0,43,0,Jewish,1,1
22,15461,Jordan,Male,0,Black,Married,Canada,Single,European,Heterosexual,Yellow,Male,African,Masculine,1,1,64,1,Buddhist,0,1
23,8709,Australia,Male,0,Hispanic,Single,Mexico,Married,European,Heterosexual,Black,Male,African,Feminine,1,1,47,1,Jewish,1,1
24,7969,Vietnam,Male,1,Asian,Married,US,Divorced,Middle Eastern,Homosexual,Black,Male,Asian,Masculine,0,0,42,1,Atheist,1,1
25,6445,US,Female,1,Asian,Single,US,Divorced,African,Heterosexual,Yellow,Female,Middle Eastern,Masculine,0,0,48,1,Muslim,1,1
26,18225,India,Female,0,Arab,Single,US,Married,African,Homosexual,White,Female,Middle Eastern,Feminine,0,1,56,0,Jewish,0,1
27,8018,US,Male,1,Hispanic,Single,South Korea,Divorced,Hispanic,Homosexual,Yellow,Male,African,Feminine,1,1,67,1,Buddhist,0,1
28,8163,Korea,Male,0,White,Married,Canada,Married,Middle Eastern,Homosexual,White,Male,Middle Eastern,Feminine,0,1,41,1,Hindu,0,0
29,8171,Vietnam,Male,1,Arab,Single,Canada,Single,Middle Eastern,Homosexual,Yellow,Male,Latin,Feminine,1,0,58,0,Jewish,1,1
30,3133,Vietnam,Female,1,White,Divorced,Canada,Single,Middle Eastern,Bisexual,Black,Female,Middle Eastern,Feminine,0,0,67,0,Jewish,1,0
31,18981,Mexico,Female,0,Asian,Married,Canada,Divorced,Middle Eastern,Bisexual,Yellow,Female,Asian,Masculine,1,1,47,1,Hindu,1,0
32,16736,China,Female,1,Arab,Single,US,Divorced,European,Heterosexual,Brown,Female,Western,Feminine,1,0,66,0,Buddhist,0,0
33,13709,Nigeria,Female,0,White,Single,US,Single,African,Heterosexual,Brown,Female,African,Masculine,0,1,38,1,Jewish,1,0
34,9322,UK,Male,0,Arab,Single,South Korea,Divorced,African,Heterosexual,Yellow,Male,Asian,Feminine,0,1,47,0,Christian,1,0
35,1452,Taiwan,Male,0,Hispanic,Married,US,Single,African,Heterosexual,White,Male,Western,Masculine,1,1,66,1,Muslim,0,0
36,8388,India,Female,1,Arab,Divorced,South Korea,Single,Middle Eastern,Homosexual,White,Female,Latin,Masculine,0,0,35,1,Muslim,1,0
37,7196,Australia,Male,1,White,Divorced,US,Single,Asian,Bisexual,White,Male,African,Masculine,0,1,28,1,Jewish,0,1
38,11257,Brazil,Male,1,Hispanic,Married,China,Married,Hispanic,Bisexual,Yellow,Male,Western,Feminine,1,1,35,1,Muslim,1,1
39,18332,Jordan,Female,1,Black,Divorced,China,Divorced,African,Homosexual,Brown,Female,Asian,Masculine,0,0,44,0,Christian,0,0
40,7475,Mexico,Male,1,Asian,Single,Canada,Divorced,Hispanic,Bisexual,Black,Male,Asian,Masculine,0,1,29,0,Atheist,1,1
41,16504,China,Male,1,Black,Single,China,Married,Asian,Heterosexual,Brown,Male,African,Masculine,0,0,48,1,Buddhist,1,0
42,7853,Hong Kong,Female,1,Hispanic,Single,Canada,Single,Middle Eastern,Heterosexual,Brown,Female,African,Masculine,0,0,56,0,Hindu,0,0
43,11246,Jordan,Male,0,Hispanic,Married,China,Single,European,Bisexual,Black,Male,African,Feminine,1,1,26,1,Christian,0,0
44,19709,Mexico,Male,0,Black,Divorced,South Korea,Divorced,African,Homosexual,Yellow,Male,Asian,Feminine,0,1,55,0,Buddhist,1,0
45,1763,US,Male,0,White,Single,Mexico,Married,European,Heterosexual,Brown,Male,Latin,Masculine,0,1,22,0,Jewish,1,0
46,1751,Jordan,Female,1,Arab,Married,South Korea,Married,Asian,Homosexual,Black,Female,Asian,Feminine,1,1,39,0,Hindu,0,1
47,3467,Nigeria,Male,0,Arab,Single,South Korea,Married,Hispanic,Heterosexual,Black,Male,Asian,Masculine,1,1,28,1,Buddhist,0,1
48,19504,Argentina,Female,0,Black,Single,South Korea,Single,African,Bisexual,Yellow,Female,Asian,Feminine,1,1,54,1,Christian,1,0
49,6249,UK,Female,1,Hispanic,Married,US,Married,Middle Eastern,Homosexual,Yellow,Female,African,Masculine,1,1,47,0,Christian,1,1
50,3687,Australia,Female,1,Arab,Divorced,US,Married,Asian,Homosexual,Black,Female,African,Masculine,0,1,28,0,Christian,1,0
51,10260,Jordan,Female,1,Arab,Divorced,China,Married,Hispanic,Heterosexual,White,Female,Western,Masculine,0,1,59,1,Atheist,1,0
52,2660,Argentina,Male,0,White,Divorced,South Korea,Single,Middle Eastern,Heterosexual,Yellow,Male,Asian,Feminine,0,0,39,1,Jewish,1,0
53,9008,China,Male,1,Arab,Divorced,Mexico,Married,African,Heterosexual,White,Male,Middle Eastern,Feminine,0,1,34,0,Christian,1,1
54,18837,UK,Female,1,White,Married,US,Married,Asian,Bisexual,Black,Female,Middle Eastern,Masculine,0,0,43,1,Buddhist,0,0
55,4242,US,Male,0,Black,Married,Mexico,Divorced,African,Heterosexual,Brown,Male,Latin,Masculine,0,1,55,1,Christian,1,0
56,5351,Korea,Female,0,White,Divorced,Canada,Single,Middle Eastern,Bisexual,White,Female,Middle Eastern,Feminine,1,0,49,1,Buddhist,0,0
57,3723,China,Female,1,Black,Married,US,Single,European,Heterosexual,Brown,Female,Latin,Masculine,0,0,47,1,Hindu,0,1
58,5513,India,Male,1,Asian,Married,US,Divorced,African,Bisexual,Brown,Male,African,Masculine,0,1,34,0,Christian,0,1
59,2674,UK,Female,0,Asian,Single,China,Divorced,Asian,Bisexual,Yellow,Female,Latin,Masculine,1,1,50,0,Atheist,0,0
60,11547,South Korea,Male,1,Hispanic,Single,Mexico,Single,Middle Eastern,Homosexual,Yellow,Male,Latin,Feminine,0,0,35,0,Christian,0,0
61,3746,Korea,Female,0,White,Married,Canada,Single,African,Bisexual,White,Female,Western,Feminine,1,0,61,0,Muslim,0,0
62,2837,South Korea,Female,0,White,Married,South Korea,Single,Hispanic,Heterosexual,White,Female,Asian,Feminine,1,1,32,1,Muslim,0,1
63,3074,Vietnam,Male,1,Black,Divorced,US,Married,European,Homosexual,Brown,Male,Asian,Feminine,1,1,68,1,Christian,1,1
64,2292,Taiwan,Female,0,White,Married,Canada,Single,European,Bisexual,Black,Female,Latin,Feminine,0,1,47,1,Jewish,1,0
65,11955,Jordan,Female,1,Asian,Married,China,Divorced,Asian,Bisexual,Yellow,Female,Asian,Feminine,0,0,34,1,Christian,1,1
66,7476,UK,Female,0,Hispanic,Married,US,Divorced,Hispanic,Heterosexual,Brown,Female,Asian,Masculine,0,0,43,1,Jewish,1,0
67,8556,US,Male,1,Arab,Divorced,Canada,Married,European,Heterosexual,Black,Male,Asian,Feminine,1,1,45,0,Buddhist,1,1
68,19779,Mexico,Female,0,Arab,Divorced,South Korea,Single,Hispanic,Bisexual,Brown,Female,Middle Eastern,Masculine,1,1,52,1,Hindu,0,1
69,7491,India,Female,1,Asian,Divorced,South Korea,Single,Asian,Bisexual,Brown,Female,Western,Masculine,1,0,31,0,Jewish,1,1
70,19606,UK,Male,1,Asian,Divorced,Canada,Divorced,Asian,Bisexual,Brown,Male,Asian,Masculine,1,0,45,1,Jewish,1,0
71,11908,Taiwan,Female,0,Black,Married,Canada,Divorced,Hispanic,Bisexual,White,Female,Middle Eastern,Masculine,0,0,40,1,Jewish,1,1
72,7584,UK,Male,1,Black,Divorced,US,Married,European,Homosexual,Black,Male,Asian,Feminine,1,1,52,0,Jewish,1,0
73,8010,Argentina,Male,1,Arab,Single,US,Married,European,Homosexual,Brown,Male,African,Masculine,1,1,25,1,Atheist,0,0
74,17835,UK,Female,0,Black,Divorced,US,Single,Hispanic,Heterosexual,White,Female,Middle Eastern,Masculine,0,1,52,0,Atheist,0,0
75,8440,Australia,Female,0,Hispanic,Single,US,Divorced,Asian,Homosexual,Yellow,Female,Middle Eastern,Feminine,1,0,49,0,Jewish,0,0
76,13886,Australia,Male,0,White,Divorced,China,Married,Hispanic,Homosexual,Brown,Male,Middle Eastern,Masculine,0,1,27,0,Buddhist,1,0
77,1665,Australia,Male,1,Asian,Single,Mexico,Married,Asian,Homosexual,Black,Male,Latin,Masculine,0,1,26,1,Buddhist,1,1
78,17989,India,Male,0,Asian,Divorced,US,Divorced,Hispanic,Heterosexual,Brown,Male,African,Masculine,1,1,32,1,Jewish,1,0
79,7572,Australia,Female,0,Black,Single,China,Single,European,Homosexual,Brown,Female,African,Masculine,0,1,31,1,Christian,0,1
80,17699,UK,Male,1,White,Single,Mexico,Married,Hispanic,Heterosexual,Yellow,Male,Middle Eastern,Masculine,1,0,61,1,Jewish,1,0
81,6705,China,Female,0,Arab,Married,US,Divorced,African,Heterosexual,Yellow,Female,Middle Eastern,Feminine,1,0,36,1,Atheist,1,1
82,7228,China,Female,1,Hispanic,Married,South Korea,Married,European,Bisexual,Yellow,Female,Middle Eastern,Masculine,0,0,45,0,Jewish,0,1
83,8191,Vietnam,Male,0,Hispanic,Divorced,Mexico,Divorced,European,Homosexual,Yellow,Male,Latin,Masculine,0,1,60,1,Muslim,0,1
84,4071,Argentina,Female,0,Hispanic,Married,South Korea,Married,Hispanic,Homosexual,Brown,Female,Asian,Masculine,1,0,21,1,Buddhist,0,0
85,9341,Jordan,Female,1,Black,Divorced,US,Married,Hispanic,Heterosexual,Black,Female,Latin,Feminine,0,0,29,1,Jewish,0,0
86,14464,Canada,Female,0,Hispanic,Married,Mexico,Single,Hispanic,Homosexual,Black,Female,Latin,Feminine,0,1,42,0,Muslim,0,0
87,13068,Argentina,Male,0,White,Married,Canada,Single,Middle Eastern,Bisexual,White,Male,Latin,Masculine,0,0,53,0,Muslim,1,0
88,12131,Brazil,Male,0,White,Divorced,South Korea,Divorced,Hispanic,Heterosexual,Black,Male,Middle Eastern,Feminine,0,1,37,0,Hindu,1,1
89,13048,China,Male,1,Arab,Divorced,Mexico,Single,Hispanic,Bisexual,Black,Male,Middle Eastern,Feminine,1,0,27,1,Jewish,1,0
90,16656,Jordan,Male,0,Black,Married,South Korea,Single,European,Homosexual,Brown,Male,Latin,Masculine,0,1,69,1,Muslim,1,1
91,5522,UK,Female,1,Black,Divorced,China,Married,Middle Eastern,Bisexual,White,Female,Asian,Masculine,1,1,24,0,Jewish,1,1
92,16929,Brazil,Female,1,Arab,Single,Mexico,Single,Asian,Bisexual,White,Female,Western,Masculine,1,0,37,1,Hindu,0,1
93,19065,Mexico,Male,1,Asian,Divorced,Canada,Divorced,African,Bisexual,Black,Male,Middle Eastern,Feminine,1,1,41,0,Buddhist,1,0
94,11012,Canada,Male,0,White,Single,South Korea,Divorced,Middle Eastern,Homosexual,Yellow,Male,Middle Eastern,Feminine,1,1,66,0,Christian,1,1
95,13804,Korea,Male,0,Hispanic,Divorced,South Korea,Single,Asian,Homosexual,Black,Male,African,Masculine,0,1,48,0,Muslim,1,0
96,14251,Taiwan,Male,1,Black,Single,US,Single,African,Heterosexual,Black,Male,African,Masculine,0,0,69,1,Atheist,0,1
97,17972,Taiwan,Female,0,Asian,Married,South Korea,Single,Middle Eastern,Homosexual,Yellow,Female,Western,Masculine,1,1,56,1,Atheist,1,0
98,19416,US,Female,1,Black,Single,US,Married,Hispanic,Heterosexual,Brown,Female,Asian,Masculine,0,1,35,0,Atheist,1,0
99,14991,Taiwan,Male,0,Hispanic,Divorced,South Korea,Married,Middle Eastern,Bisexual,White,Male,Western,Feminine,0,0,35,0,Hindu,0,1
100,16561,China,Male,1,Black,Single,US,Married,African,Bisexual,Yellow,Male,Asian,Masculine,1,1,65,1,Jewish,1,0
101,11451,China,Female,1,White,Married,Mexico,Single,Middle Eastern,Bisexual,White,Female,Asian,Masculine,1,1,42,1,Hindu,1,0
102,1614,Australia,Female,1,White,Married,China,Divorced,European,Heterosexual,Yellow,Female,Middle Eastern,Masculine,0,1,66,0,Christian,1,1
103,2680,Mexico,Male,1,White,Divorced,Mexico,Divorced,Asian,Heterosexual,Brown,Male,African,Masculine,0,1,47,0,Jewish,1,0
104,16368,India,Male,1,Hispanic,Single,US,Single,Middle Eastern,Homosexual,Black,Male,Middle Eastern,Feminine,0,1,30,1,Christian,0,0
105,9971,India,Male,0,Hispanic,Single,China,Divorced,European,Bisexual,Brown,Male,African,Feminine,1,0,59,1,Buddhist,0,0
106,3222,Taiwan,Female,1,Asian,Single,Canada,Married,Asian,Homosexual,Yellow,Female,Latin,Feminine,0,0,31,1,Jewish,1,0
107,17893,Jordan,Male,1,Arab,Married,South Korea,Divorced,African,Bisexual,Black,Male,African,Feminine,0,1,66,1,Jewish,0,1
108,11945,China,Female,1,Hispanic,Divorced,South Korea,Single,Hispanic,Homosexual,Black,Female,Asian,Masculine,1,1,56,1,Atheist,0,1
109,8654,UK,Female,0,Arab,Single,US,Married,European,Homosexual,Black,Female,African,Feminine,0,0,40,0,Jewish,1,0
110,16414,Australia,Male,0,Asian,Single,Canada,Single,African,Bisexual,Black,Male,Latin,Masculine,1,0,23,0,Atheist,1,0
111,11039,Nigeria,Male,0,White,Single,Canada,Married,Hispanic,Heterosexual,Yellow,Male,Latin,Masculine,1,1,46,0,Muslim,1,0
112,14184,South Korea,Male,0,Arab,Divorced,China,Married,Asian,Homosexual,Black,Male,Asian,Masculine,0,0,57,1,Atheist,0,0
113,10499,Hong Kong,Female,0,Hispanic,Single,Mexico,Divorced,European,Bisexual,Brown,Female,Middle Eastern,Feminine,0,1,40,0,Christian,1,1
114,19879,Taiwan,Male,1,White,Single,US,Single,European,Bisexual,Brown,Male,African,Masculine,1,1,67,1,Atheist,0,1
115,8757,Taiwan,Female,0,Asian,Single,US,Married,European,Heterosexual,Black,Female,African,Masculine,1,0,35,1,Christian,0,0
116,3624,Vietnam,Female,0,Hispanic,Single,Canada,Single,Hispanic,Heterosexual,White,Female,African,Feminine,0,0,20,1,Atheist,0,0
117,2360,Argentina,Male,1,Arab,Single,US,Divorced,African,Bisexual,Black,Male,Asian,Feminine,0,0,48,0,Jewish,0,1
118,8374,South Korea,Male,0,Hispanic,Single,South Korea,Divorced,European,Homosexual,White,Male,Western,Feminine,1,0,44,0,Buddhist,1,0
119,11818,Canada,Male,0,Asian,Married,Canada,Divorced,Asian,Heterosexual,Black,Male,African,Masculine,0,1,37,0,Atheist,0,0
120,9545,Jordan,Female,1,Black,Divorced,South Korea,Married,Hispanic,Homosexual,Black,Female,Latin,Masculine,0,0,61,0,Buddhist,1,1
121,3538,Hong Kong,Male,0,Hispanic,Married,Canada,Married,Asian,Heterosexual,Black,Male,Western,Feminine,0,0,63,1,Christian,1,0
122,15591,Korea,Female,0,Asian,Divorced,US,Single,Asian,Bisexual,Yellow,Female,Western,Feminine,0,0,21,0,Atheist,0,0
123,4444,India,Male,0,Hispanic,Single,South Korea,Married,Middle Eastern,Bisexual,White,Male,Middle Eastern,Feminine,0,1,33,0,Atheist,1,1
124,9928,UK,Male,0,Arab,Single,China,Single,Hispanic,Bisexual,Black,Male,Middle Eastern,Feminine,1,0,37,1,Atheist,1,0
125,5156,Vietnam,Male,1,Black,Married,Mexico,Married,Asian,Heterosexual,Black,Male,Middle Eastern,Masculine,0,0,59,1,Hindu,0,1
126,7468,South Korea,Male,1,Arab,Married,US,Single,European,Bisexual,Black,Male,Western,Feminine,0,0,37,0,Atheist,0,0
127,13669,India,Female,1,Arab,Divorced,South Korea,Single,Hispanic,Heterosexual,Black,Female,Latin,Feminine,0,0,44,1,Muslim,1,1
128,7395,Australia,Male,1,Arab,Divorced,China,Divorced,Hispanic,Heterosexual,Black,Male,African,Feminine,1,0,37,1,Jewish,1,0
129,14791,South Korea,Female,1,Arab,Divorced,South Korea,Divorced,Middle Eastern,Heterosexual,White,Female,African,Masculine,1,1,40,1,Jewish,1,0
130,8627,Taiwan,Male,1,Hispanic,Married,US,Single,European,Heterosexual,White,Male,Latin,Masculine,0,1,64,1,Buddhist,1,0
131,13334,Korea,Female,1,Arab,Married,Canada,Married,European,Bisexual,Brown,Female,Middle Eastern,Feminine,1,0,28,0,Muslim,1,0
132,14196,Mexico,Male,1,White,Married,US,Single,Middle Eastern,Homosexual,White,Male,Asian,Feminine,1,1,51,0,Muslim,1,1
133,11314,Australia,Female,0,Black,Divorced,Canada,Divorced,African,Bisexual,Brown,Female,Latin,Masculine,1,0,68,0,Atheist,0,0
134,8110,Jordan,Male,1,Arab,Divorced,Mexico,Single,Asian,Heterosexual,White,Male,Latin,Masculine,0,1,36,1,Jewish,1,0
135,10009,US,Male,1,White,Divorced,Mexico,Single,Hispanic,Heterosexual,Yellow,Male,Latin,Feminine,1,0,42,0,Hindu,1,1
136,1061,South Korea,Female,0,Arab,Married,China,Divorced,African,Homosexual,Brown,Female,African,Masculine,1,0,63,0,Hindu,0,0
137,5394,US,Female,1,Asian,Single,Mexico,Divorced,Hispanic,Bisexual,White,Female,Middle Eastern,Masculine,1,0,36,1,Hindu,0,1
138,9733,Taiwan,Male,0,Black,Married,China,Single,European,Heterosexual,White,Male,Western,Feminine,1,1,33,1,Atheist,0,1
139,19414,US,Female,1,Black,Married,South Korea,Single,Asian,Bisexual,Black,Female,Latin,Feminine,1,0,32,0,Muslim,1,1
140,18220,Taiwan,Female,1,White,Married,US,Single,African,Bisexual,Brown,Female,Asian,Masculine,0,1,34,0,Jewish,0,1
141,19255,Jordan,Female,1,Asian,Married,US,Single,European,Homosexual,Brown,Female,Latin,Masculine,0,0,31,1,Jewish,1,1
142,10619,Nigeria,Female,0,Asian,Single,Mexico,Divorced,Asian,Bisexual,Black,Female,Western,Masculine,0,0,62,1,Muslim,1,1
143,1548,Nigeria,Male,1,Black,Married,Canada,Divorced,Asian,Bisexual,Yellow,Male,Latin,Feminine,0,1,56,1,Atheist,0,0
144,2327,Hong Kong,Male,1,White,Divorced,Mexico,Married,Hispanic,Heterosexual,White,Male,Western,Masculine,1,0,59,1,Atheist,1,1
145,8954,Nigeria,Female,1,Hispanic,Married,China,Single,Asian,Heterosexual,Yellow,Female,Western,Feminine,0,0,36,0,Buddhist,0,0
146,7094,Nigeria,Female,1,White,Single,Canada,Married,Asian,Homosexual,White,Female,African,Feminine,0,1,21,1,Jewish,1,1
147,8087,India,Female,0,Arab,Married,US,Divorced,African,Heterosexual,Yellow,Female,African,Masculine,1,1,21,0,Christian,1,0
148,9182,Vietnam,Female,0,White,Married,Mexico,Single,Hispanic,Heterosexual,White,Female,Middle Eastern,Masculine,1,1,37,1,Christian,1,0
149,2956,Argentina,Male,0,Arab,Single,China,Single,Asian,Heterosexual,Black,Male,Western,Feminine,0,0,62,1,Atheist,1,0
150,18800,US,Female,1,Black,Single,Mexico,Single,Middle Eastern,Heterosexual,Brown,Female,Latin,Feminine,0,0,38,1,Buddhist,0,0
151,14747,Taiwan,Female,1,Asian,Single,Mexico,Divorced,Asian,Homosexual,Yellow,Female,African,Feminine,0,0,21,0,Buddhist,0,1
152,9915,Taiwan,Female,1,Arab,Married,China,Married,Asian,Bisexual,Brown,Female,African,Masculine,0,1,45,1,Hindu,1,0
153,1602,Taiwan,Male,0,Hispanic,Married,South Korea,Married,Middle Eastern,Homosexual,Brown,Male,Middle Eastern,Masculine,1,1,48,1,Hindu,0,1
154,9462,Brazil,Female,0,Black,Divorced,Canada,Married,Asian,Heterosexual,Yellow,Female,African,Feminine,1,0,30,0,Christian,1,1
155,2977,US,Female,0,White,Married,South Korea,Divorced,African,Heterosexual,White,Female,Asian,Masculine,0,0,44,0,Atheist,1,0
156,3254,Australia,Male,1,Asian,Married,China,Divorced,Middle Eastern,Homosexual,White,Male,Western,Masculine,1,0,48,0,Hindu,0,0
157,3831,China,Female,0,Hispanic,Married,Canada,Married,Middle Eastern,Heterosexual,Brown,Female,Latin,Masculine,1,1,68,0,Muslim,1,0
158,16923,Argentina,Male,1,White,Single,Canada,Single,Hispanic,Homosexual,Yellow,Male,African,Feminine,0,0,28,0,Buddhist,1,1
159,8059,Argentina,Male,0,White,Single,Canada,Divorced,Asian,Heterosexual,White,Male,Asian,Feminine,1,1,43,0,Muslim,0,0
160,6978,Brazil,Female,1,Asian,Divorced,Mexico,Married,Middle Eastern,Bisexual,Brown,Female,Asian,Masculine,0,1,57,1,Buddhist,0,1
161,12847,China,Female,0,Asian,Divorced,Mexico,Married,European,Bisexual,Yellow,Female,African,Masculine,0,1,35,0,Jewish,1,0
162,11461,China,Male,0,Arab,Married,China,Single,African,Bisexual,Black,Male,Western,Feminine,0,0,36,0,Muslim,1,1
163,1522,Mexico,Male,0,Asian,Divorced,Canada,Single,Hispanic,Bisexual,Black,Male,African,Masculine,1,1,54,1,Atheist,0,0
164,14504,UK,Male,0,Black,Single,Canada,Married,Hispanic,Homosexual,Brown,Male,Asian,Masculine,0,0,36,1,Jewish,1,0
165,10945,UK,Female,0,Arab,Married,China,Single,Middle Eastern,Homosexual,Yellow,Female,Latin,Masculine,1,1,44,1,Christian,1,1
166,11699,India,Male,0,Black,Divorced,Canada,Married,Middle Eastern,Heterosexual,Black,Male,Middle Eastern,Feminine,0,1,24,0,Muslim,1,1
167,15781,Nigeria,Female,1,Hispanic,Divorced,South Korea,Married,Asian,Homosexual,Black,Female,Western,Masculine,1,0,58,1,Buddhist,1,1
168,17836,Canada,Male,1,White,Married,China,Single,Asian,Heterosexual,Black,Male,Asian,Feminine,1,0,58,0,Muslim,0,0
169,19788,Canada,Male,1,Asian,Married,South Korea,Divorced,Middle Eastern,Heterosexual,Black,Male,Latin,Feminine,0,0,36,1,Atheist,1,1
170,14494,India,Male,1,Hispanic,Single,China,Divorced,European,Homosexual,Black,Male,Middle Eastern,Masculine,0,0,48,1,Hindu,1,0
171,10539,India,Female,0,White,Single,South Korea,Divorced,Asian,Heterosexual,Black,Female,African,Feminine,0,1,40,0,Atheist,1,0
172,17288,Jordan,Male,1,White,Divorced,Mexico,Single,Middle Eastern,Homosexual,Black,Male,African,Masculine,0,1,59,0,Buddhist,0,1
173,7256,South Korea,Female,1,Hispanic,Married,Mexico,Single,Asian,Homosexual,Black,Female,Middle Eastern,Feminine,1,0,58,1,Atheist,0,0
174,14919,India,Male,1,Hispanic,Divorced,South Korea,Married,Asian,Homosexual,Black,Male,African,Masculine,0,1,43,0,Christian,1,1
175,11448,Canada,Female,1,Black,Single,South Korea,Married,African,Homosexual,Black,Female,Asian,Feminine,1,1,38,0,Atheist,1,1
176,11394,US,Male,0,Hispanic,Married,Canada,Married,Hispanic,Homosexual,Brown,Male,Western,Masculine,1,0,47,1,Christian,0,0
177,5658,China,Male,1,Hispanic,Divorced,US,Divorced,European,Homosexual,Brown,Male,African,Masculine,1,0,26,1,Hindu,1,1
178,11407,India,Female,0,Asian,Divorced,Mexico,Divorced,Hispanic,Homosexual,Brown,Female,Latin,Masculine,0,1,31,0,Christian,1,0
179,16552,US,Male,0,White,Married,Canada,Married,European,Homosexual,White,Male,Western,Masculine,1,0,60,1,Jewish,0,0
180,7476,UK,Female,0,Asian,Single,Canada,Divorced,Hispanic,Heterosexual,Black,Female,African,Masculine,1,0,34,0,Atheist,0,0
181,2913,Canada,Male,1,Asian,Divorced,Mexico,Married,Middle Eastern,Homosexual,Brown,Male,Middle Eastern,Feminine,1,1,20,1,Jewish,0,0
182,5170,Jordan,Female,1,Arab,Single,Mexico,Married,Middle Eastern,Homosexual,Brown,Female,Latin,Feminine,0,0,39,0,Atheist,1,1
183,9146,UK,Male,1,Arab,Divorced,Mexico,Divorced,Middle Eastern,Heterosexual,Yellow,Male,Latin,Feminine,1,0,33,1,Hindu,0,1
184,2592,Hong Kong,Female,1,Hispanic,Married,South Korea,Divorced,European,Bisexual,White,Female,Latin,Feminine,1,0,35,0,Hindu,1,0
185,14579,Hong Kong,Female,1,Arab,Single,Mexico,Single,African,Bisexual,Black,Female,African,Masculine,0,1,34,0,Jewish,0,1
186,9442,US,Female,0,Black,Divorced,Mexico,Divorced,Asian,Heterosexual,White,Female,Latin,Feminine,1,1,20,1,Muslim,0,0
187,2506,Korea,Male,0,Black,Married,Mexico,Married,Hispanic,Bisexual,Brown,Male,Western,Masculine,1,1,47,0,Christian,0,0
188,4860,Brazil,Female,0,Black,Single,US,Married,African,Heterosexual,Brown,Female,Asian,Feminine,0,1,36,1,Atheist,0,0
189,10843,Taiwan,Male,1,Arab,Married,South Korea,Divorced,Hispanic,Heterosexual,Yellow,Male,Latin,Feminine,0,0,46,0,Muslim,1,1
